Event Time (Temps universel coordonné),Point Name,Northing,Easting,Elevation,ReferenceNorthing,ReferenceEasting,ReferenceElevation,StdDevNorthing,StdDevEasting,StdDevElevation
2023-09-13 08:39:11,st001,1185070.0001,2564880.0017,520.0006,1185070.0000,2564880.0000,520.0000,0.0004574,0.0002916,0.0001467
2023-09-13 08:39:11,Ref_1,1185071.1240,2564879.2070,519.7990,1185071.1240,2564879.2070,519.7990,0.0000325,0.0000325,0.0000324
2023-09-13 08:39:11,Ref_2,1185069.5600,2564876.7790,520.6010,1185069.5600,2564876.7790,520.6010,0.0000325,0.0000325,0.0000324
2023-09-13 08:39:11,Ref_3,1185065.6890,2564881.7870,519.3410,1185065.6890,2564881.7870,519.3410,0.0000325,0.0000325,0.0000325
2023-09-13 08:39:11,KM_000_D,1185068.5331,2564879.1724,519.6553,1185068.0659,2564878.9094,519.5454,0.0196990,0.0109516,0.0046237
2023-09-13 08:39:11,KM_000_G,1185068.8017,2564879.3636,519.5841,1185068.8020,2564879.3620,519.5840,0.0194886,0.0102015,0.0067495
2023-09-13 08:39:11,KM_035_D,1185068.3116,2564879.4716,519.6537,1185068.3120,2564879.4700,519.6540,0.0215947,0.0066261,0.0044308
2023-09-13 08:39:11,KM_035_G,1185068.5884,2564879.6679,519.5766,1185068.5880,2564879.6650,519.5760,0.0215350,0.0049509,0.0064568
2023-09-13 08:39:11,KM_070_D,1185068.0865,2564879.7802,519.6545,1185068.0880,2564879.7790,519.6540,0.0225242,0.0024882,0.0040761
2023-09-13 08:39:11,KM_070_G,1185068.3512,2564879.9757,519.5752,1185068.3510,2564879.9740,519.5740,0.0222919,0.0003873,0.0057511
2023-09-13 08:39:11,KM_105_D,1185067.8589,2564880.0752,519.6584,1185067.8580,2564880.0730,519.6580,0.0227162,0.0009782,0.0036387
2023-09-13 08:39:11,KM_105_G,1185068.1192,2564880.2628,519.5685,1185068.1190,2564880.2610,519.5680,0.0222179,0.0032235,0.0051099
2023-09-13 08:39:11,KM_140_D,1185067.6259,2564880.3789,519.6195,1185067.6260,2564880.3770,519.6190,0.0224366,0.0037064,0.0036138
2023-09-13 08:39:11,KM_140_G,1185067.8842,2564880.5672,519.5722,1185067.8840,2564880.5650,519.5720,0.0217953,0.0059521,0.0044247
